Generation,Maximum Fitness
1,1186
2,1186
3,1259
4,1290
5,1290
6,1290
7,1290
8,1290
9,1354
10,1354
11,1354
12,1354
13,1561
14,1561
15,1618
16,1618
17,1618
18,1618
19,1618
20,1618
21,1960
22,1960
23,2029
24,2539
25,2539
26,2539
27,2539
28,2539
29,2539
30,2539
31,2539
32,2539
33,2539
34,2539
35,2539
36,2949
37,2949
38,2949
39,2971
40,2971
41,2971
42,2971
43,2971
44,2971
45,2971
46,2971
47,2971
48,2971
49,2971
50,2971
51,2971
52,2971
53,2971
54,2971
55,2971
56,2971
57,2971
58,2971
59,2971
60,2971
61,3313
62,3313
63,3313
64,3313
65,3313
66,3313
67,3313
68,3313
69,3313
70,3313
71,3313
72,3313
73,3313
74,3313
75,3313
76,3313
77,3313
78,3313
79,3618
80,3618
81,3618
82,3618
83,3618
84,3618
85,3618
86,3618
87,3618
88,3618
89,3618
90,3618
91,3618
92,3618
93,3618
94,3618
95,3618
96,3618
97,3618
98,3618
99,3618
100,3618
101,3618
102,3618
103,3618
104,3618
105,3618
106,3618
107,3618
108,3618
109,3618
110,3618
111,3618
112,3618
113,3618
114,3618
115,3618
116,3618
117,3618
118,3618
119,3618
120,3618
121,3618
122,3618
123,3618
124,3618
125,3618
126,3618
127,3618
128,3618
129,3618
130,3618
131,3618
132,3618
133,3618
134,3618
135,3618
136,3618
137,3618
138,3618
139,3618
140,3618
141,3618
142,3618
143,3618
144,3618
145,3618
146,3618
147,3618
148,3618
149,3618
150,3618
151,3618
152,3618
153,3618
154,3618
155,3618
156,3618
157,3618
158,3618
159,3618
160,3618
161,3618
162,3618
163,3618
164,3618
165,3618
166,3618
167,3618
168,3618
169,3618
170,3618
171,3618
172,3618
173,3618
174,3618
175,3618
176,3618
177,3618
178,3618
179,3618
180,3618
181,3618
182,3618
183,3618
184,3618
185,3618
186,3618
187,3618
188,3618
189,3618
190,3618
191,3618
192,3618
193,3618
194,3618
195,3618
196,3618
197,3618
198,3618
199,3618
200,3618
201,3618
202,3618
203,3618
204,3618
205,3618
206,3618
207,3618
208,3618
209,3618
210,3618
211,3618
212,3618
213,3618
214,3618
215,3618
216,3618
217,3618
218,3618
219,3618
220,3618
221,3618
222,3618
223,3618
224,3618
225,3618
226,3618
227,3618
228,3618
229,3618
230,3618
231,3618
232,3618
233,3618
234,3618
235,3618
236,3618
237,3618
238,3618
239,3618
240,3618
241,3618
242,3618
243,3618
244,3618
245,3618
246,3618
247,3618
248,3618
249,3618
250,3618
251,3618
252,3618
253,3618
254,3618
255,3618
256,3618
257,3618
258,3618
259,3618
260,3618
261,3618
262,3618
263,3618
264,3618
265,3618
266,3618
267,3618
268,3618
269,3618
270,3618
271,3618
272,3618
273,3618
274,3618
275,3618
276,3618
277,3618
278,3618
279,3618
280,3618
281,3618
282,3618
283,3618
284,3618
285,3618
286,3618
287,3618
288,3618
289,3618
290,3618
291,3618
292,3618
293,3618
294,3618
295,3618
296,3618
297,3618
298,3618
299,3618
300,3618
301,3618
302,3618
303,3618
304,3618
305,3618
306,3618
307,3618
308,3618
309,3618
310,3618
311,3618
312,3618
313,3618
314,3618
315,3618
316,3618
317,3618
318,3618
319,3618
320,3618
321,3618
322,3618
323,3618
324,3618
325,3618
326,3618
327,3618
328,3618
329,3618
330,3618
331,3618
332,3618
333,3618
334,3618
335,3618
336,3618
337,3618
338,3618
339,3618
340,3618
341,3618
342,3618
343,3618
344,3618
345,3618
346,3618
347,3618
348,3618
349,3618
350,3618
351,3618
352,3618
353,3618
354,3618
355,3618
356,3618
357,3618
358,3618
359,3618
360,3618
361,3618
362,3618
363,3618
364,3618
365,3618
366,3618
367,3618
368,3618
369,3618
370,3618
371,3618
372,3618
373,3618
374,3618
375,3618
376,3618
377,3618
378,3618
379,3618
380,3618
381,3618
382,3618
383,3618
384,3618
385,3618
386,3618
387,3618
388,3618
389,3618
390,3618
391,3618
392,3618
393,3618
394,3618
395,3618
396,3618
397,3618
398,3618
399,3618
400,3618
401,3618
402,3618
403,3618
404,3618
405,3618
406,3618
407,3618
408,3618
409,3618
410,3618
411,3618
412,3618
413,3618
414,3618
415,3618
416,3618
417,3618
418,3618
419,3618
420,3618
421,3618
422,3618
423,3618
424,3618
425,3618
426,3618
427,3618
428,3618
429,3618
430,3618
431,3618
432,3618
433,3618
434,3618
435,3618
436,3618
437,3618
438,3618
439,3618
440,3618
441,3618
442,3618
443,3618
444,3618
445,3618
446,3618
447,3618
448,3618
449,3618
450,3618
451,3618
452,3618
453,3618
454,3618
455,3618
456,3618
457,3618
458,3618
459,3618
460,3618
461,3618
462,3618
463,3618
464,3618
465,3618
466,3618
467,3618
468,3618
469,3618
470,3618
471,3618
472,3618
473,3618
474,3618
475,3618
476,3618
477,3618
478,3618
479,3618
480,3618
481,3618
482,3618
483,3618
484,3618
485,3618
486,3618
487,3618
488,3618
489,3618
490,3618
491,3618
492,3618
493,3618
494,3618
495,3618
496,3618
497,3618
498,3618
499,3618
500,3618
501,3618
502,3618
503,3618
504,3618
505,3618
506,3618
507,3618
508,3618
509,3618
510,3618
511,3618
512,3618
513,3618
514,3618
515,3618
516,3618
517,3618
518,3618
519,3618
520,3618
521,3618
522,3618
523,3618
524,3618
525,3618
526,3618
527,3618
528,3618
529,3618
530,3618
531,3618
532,3618
533,3618
534,3618
535,3618
536,3618
537,3618
538,3618
539,3618
540,3618
541,3618
542,3618
543,3618
544,3618
545,3618
546,3618
547,3618
548,3618
549,3618
550,3618
551,3618
552,3618
553,3618
554,3618
555,3618
556,3618
557,3618
558,3618
559,3618
560,3618
561,3618
562,3618
563,3618
564,3618
565,3618
566,3618
567,3618
568,3618
569,3618
570,3618
571,3618
572,3618
573,3618
574,3618
575,3618
576,3618
577,3618
578,3618
579,3618
580,3618
581,3618
582,3618
583,3618
584,3618
585,3618
586,3618
587,3618
588,3618
589,3618
590,3618
591,3618
592,3618
593,3618
594,3618
595,3618
596,3618
597,3618
598,3618
599,3618
600,3618
601,3618
602,3618
603,3618
604,3618
605,3618
606,3618
607,3618
608,3618
609,3618
610,3618
611,3618
612,3618
613,3618
614,3618
615,3618
616,3618
617,3618
618,3618
619,3618
620,3618
621,3618
622,3618
623,3618
624,3618
625,3618
626,3618
627,3618
628,3618
629,3618
630,3618
631,3618
632,3618
633,3618
634,3618
635,3618
636,3618
637,3618
638,3618
639,3618
640,3618
641,3618
642,3618
643,3618
644,3618
645,3618
646,3618
647,3618
648,3618
649,3618
650,3618
651,3618
652,3618
653,3618
654,3618
655,3618
656,3618
657,3618
658,3618
659,3618
660,3618
661,3618
662,3618
663,3618
664,3618
665,3618
666,3618
667,3618
668,3618
669,3618
670,3618
671,3618
672,3618
673,3618
674,3618
675,3618
676,3618
677,3618
678,3618
679,3618
680,3618
681,3618
682,3618
683,3618
684,3618
685,3618
686,3618
687,3618
688,3618
689,3618
690,3618
691,3618
692,3618
693,3618
694,3618
695,3618
696,3618
697,3618
698,3618
699,3618
700,3618
701,3618
702,3618
703,3618
704,3618
705,3618
706,3618
707,3618
708,3618
709,3618
710,3618
711,3618
712,3618
713,3618
714,3618
715,3618
716,3618
717,3618
718,3618
719,3618
720,3618
721,3618
722,3618
723,3618
724,3618
725,3618
726,3618
727,3618
728,3618
729,3618
730,3618
731,3618
732,3618
733,3618
734,3618
735,3618
736,3618
737,3618
738,3618
739,3618
740,3618
741,3618
742,3618
743,3618
744,3618
745,3618
746,3618
747,3618
748,3618
749,3618
750,3618
751,3618
752,3618
753,3618
754,3618
755,3618
756,3618
757,3618
758,3618
759,3618
760,3618
761,3618
762,3618
763,3618
764,3618
765,3618
766,3618
767,3618
768,3618
769,3618
770,3618
771,3618
772,3618
773,3618
774,3618
775,3618
776,3618
777,3618
778,3618
779,3618
780,3618
781,3618
782,3618
783,3618
784,3618
785,3618
786,3618
787,3618
788,3618
789,3618
790,3618
791,3618
792,3618
793,3618
794,3618
795,3618
796,3618
797,3618
798,3618
799,3618
800,3618
801,3618
802,3618
803,3618
804,3618
805,3618
806,3618
807,3618
808,3618
809,3618
810,3618
811,3618
812,3618
813,3618
814,3618
815,3618
816,3618
817,3618
818,3618
819,3618
820,3618
821,3618
822,3618
823,3618
824,3618
825,3618
826,3618
827,3618
828,3618
829,3618
830,3618
831,3618
832,3618
833,3618
834,3618
835,3618
836,3618
837,3618
838,3618
839,3618
840,3618
841,3618
842,3618
843,3618
844,3618
845,3618
846,3618
847,3618
848,3618
849,3618
850,3618
851,3618
852,3618
853,3618
854,3618
855,3618
856,3618
857,3618
858,3618
859,3618
860,3618
861,3618
862,3618
863,3618
864,3618
865,3618
866,3618
867,3618
868,3618
869,3618
870,3618
871,3618
872,3618
873,3618
874,3618
875,3618
876,3618
877,3618
878,3618
879,3618
880,3618
881,3618
882,3618
883,3618
884,3618
885,3618
886,3618
887,3618
888,3618
889,3618
890,3618
891,3618
892,3618
893,3618
894,3618
895,3618
896,3618
897,3618
898,3618
899,3618
900,3618
901,3618
902,3618
903,3618
904,3618
905,3618
906,3618
907,3618
908,3618
909,3618
910,3618
911,3618
912,3618
913,3618
914,3618
915,3618
916,3618
917,3618
918,3618
919,3618
920,3618
921,3618
922,3618
923,3618
924,3618
925,3618
926,3618
927,3618
928,3618
929,3618
930,3618
931,3618
932,3618
933,10530
934,10575
935,10575
936,10575
937,10717
938,10717
939,10717
940,10717
941,10717
942,11129
943,11756
944,11756
945,11756
946,11776
947,11776
948,11776
949,11776
950,11776
951,11776
952,11776
953,11786
954,11786
955,11786
956,11786
957,11786
958,11898
959,11898
960,11898
961,11950
962,11950
963,12900
964,12900
965,12900
966,12900
967,12903
968,12903
969,12903
970,12903
971,12903
972,13088
973,13088
974,13088
975,13088
976,13088
977,13088
978,13088
979,13088
980,13088
981,13088
982,13088
983,13088
984,13088
985,13088
986,13088
987,13088
988,13088
989,13088
990,13088
991,13088
992,13088
993,13088
994,13088
995,13088
996,13088
997,13088
998,13088
999,13088
1000,13088
